Comunidad Autónoma,Año,Presupuesto_Total_M€,Presupuesto_Ejecutado_M€,Prevención_M€,Extinción_M€,% Ejecución
Comunidad Valenciana,2020,80,"62,4",30,50,"0,78"
Comunidad Valenciana,2021,85,"74,8",32,53,"0,88"
Comunidad Valenciana,2022,95,"102,6",35,60,"1,08"
Comunidad Valenciana,2023,110,"96,8",42,68,"0,88"
Comunidad Valenciana,2024,115,"101,2",44,71,"0,88"
Comunidad Valenciana,2025,125,110,48,77,"0,88"
Extremadura,2020,60,"46,8",23,37,"0,78"
Extremadura,2021,62,"54,6",24,38,"0,8806451613"
Extremadura,2022,66,"68,6",26,40,"1,039393939"
Extremadura,2023,75,66,30,45,"0,88"
Extremadura,2024,82,"72,2",33,49,"0,8804878049"
Extremadura,2025,90,"79,2",37,53,"0,88"
Galicia,2020,171,"133,4",77,94,"0,7801169591"
Galicia,2021,178,"156,6",80,98,"0,8797752809"
Galicia,2022,185,198,83,102,"1,07027027"
Galicia,2023,192,169,"86,5","105,5","0,8802083333"
Galicia,2024,200,176,90,110,"0,88"
Galicia,2025,208,183,"93,6","114,4","0,8798076923"
Islas Baleares,2020,15,"11,7",5,10,"0,78"
Islas Baleares,2021,16,"14,1","5,5","10,5","0,88125"
Islas Baleares,2022,"17,5","15,4",6,"11,5","0,88"
Islas Baleares,2023,19,"16,7","6,5","12,5","0,8789473684"
Islas Baleares,2024,"20,5",18,7,"13,5","0,8780487805"
Islas Baleares,2025,22,"19,4","7,5","14,5","0,8818181818"
La Rioja,2020,6,"4,7",2,4,"0,7833333333"
La Rioja,2021,"6,2","5,5","2,1","4,1","0,8870967742"
La Rioja,2022,"6,4","5,6","2,2","4,2","0,875"
La Rioja,2023,"7,27","6,4","2,54","4,73","0,8803301238"
La Rioja,2024,"8,78","7,7",3,"5,78","0,8769931663"
La Rioja,2025,9,"7,9","3,1","5,9","0,8777777778"
Madrid,2020,"38,5",30,11,"27,5","0,7792207792"
Madrid,2021,"39,8",35,"11,5","28,3","0,8793969849"
Madrid,2022,"42,1",37,12,"30,1","0,8788598575"
Madrid,2023,"43,7","38,5","12,7",31,"0,881006865"
Madrid,2024,"45,2","39,8","13,5","31,7","0,8805309735"
Madrid,2025,"47,5","41,8","14,5",33,"0,88"
Navarra,2020,35,"27,3",10,25,"0,78"
Navarra,2021,"36,5","32,1","10,5",26,"0,8794520548"
Navarra,2022,40,"44,4",12,28,"1,11"
Navarra,2023,45,"39,6",15,30,"0,88"
Navarra,2024,48,"42,2",16,32,"0,8791666667"
Navarra,2025,50,44,17,33,"0,88"
País Vasco,2020,80,"62,4",24,56,"0,78"
País Vasco,2021,82,"72,2","24,6","57,4","0,8804878049"
País Vasco,2022,85,"74,8","25,5","59,5","0,88"
País Vasco,2023,89,"78,3",27,62,"0,8797752809"
País Vasco,2024,93,"81,8",29,64,"0,8795698925"
País Vasco,2025,96,"84,5",30,66,"0,8802083333"
Región de Murcia,2020,"14,5","11,3","4,5",10,"0,7793103448"
Región de Murcia,2021,"15,2","13,4","4,8","10,4","0,8815789474"
Región de Murcia,2022,"15,8","13,9","5,2","10,6","0,8797468354"
Región de Murcia,2023,"17,5","15,4","5,8","11,7","0,88"
Región de Murcia,2024,"18,6","16,4","6,2","12,4","0,8817204301"
Región de Murcia,2025,"19,8","17,4","6,8",13,"0,8787878788"
